timestamp,faces_detected,emotions_detected
2025-05-18 19:30:00.076,1,Surprise
2025-05-18 19:30:00.152,1,Surprise
2025-05-18 19:30:00.223,1,Surprise
2025-05-18 19:30:00.294,1,Surprise
2025-05-18 19:30:00.373,1,Surprise
2025-05-18 19:30:00.455,1,Neutral
2025-05-18 19:30:00.531,1,Neutral
2025-05-18 19:30:00.607,1,Neutral
2025-05-18 19:30:00.683,1,Neutral
2025-05-18 19:30:00.752,1,Neutral
2025-05-18 19:30:00.829,1,Neutral
2025-05-18 19:30:00.902,1,Neutral
2025-05-18 19:30:00.979,1,Neutral
2025-05-18 19:30:01.068,1,Neutral
2025-05-18 19:30:01.149,1,Neutral
2025-05-18 19:30:01.222,1,Neutral
2025-05-18 19:30:01.295,1,Neutral
2025-05-18 19:30:01.378,1,Neutral
2025-05-18 19:30:01.458,1,Neutral
2025-05-18 19:30:01.544,1,Neutral
2025-05-18 19:30:01.635,1,Neutral
2025-05-18 19:30:01.724,1,Neutral
2025-05-18 19:30:01.828,1,Neutral
2025-05-18 19:30:01.921,1,Neutral
2025-05-18 19:30:02.009,1,Neutral
2025-05-18 19:30:02.096,1,Neutral
2025-05-18 19:30:02.180,1,Neutral
2025-05-18 19:30:02.254,1,Neutral
2025-05-18 19:30:02.348,1,Neutral
2025-05-18 19:30:02.429,1,Neutral
2025-05-18 19:30:02.525,1,Neutral
